Schools,URL,Majors,Degree,City,State,Technology,Financial Aid,Logo,Campus Image,Assigned,Virtual Tour,Graduates,Notes
Florida Agricultural and Mechanical University,http://www.famu.edu/,"Agribusiness (BS); Agronomy (BS); Animal Science (BS); Biological and Agricultural System Engineering (BS); Entomology (BS); Food Science (BS); Forestry and Natural Resources Conservation (BS); Veterinary (BS); Biology Education (BS); Chemistry Education (BS); Elementary Education (BS); Mathematics Education (BS);Music Education (BS); Physical Education (BS); Physics Education (BS); Pre-Kindergarten/Primary Education (BS); Social Science Teacher Education (BS); Technology Education (BS); Pharmaceutical Sciences (BS); Biology (Pre-Professional/Molecular-Cell) (BS); Chemistry (ACS/Biochemistry/Pre-Medicine/Dentistry) (BS); Computer Information Systems (BS); Computer Science (BS); Mathematics (Mathematical Sciences/Traditional/Actuarial Sciences) (BS); Physics (General/Applied) (BS); Arts in African-American Studies (BA/BS); Criminal Justice (BS); English (BA); Fine Arts (BA/BS); History (BA/BS); Music (BA/BS); Philosophy and Religion (BA/BS); Psychology (BA/BS); Social Work (BA/BS); Sociology (BS); Arts in Theatre (BA/BS); Cardiopulmonary Sciences (BS); Health Care Management (BS); Health Information Management (BS); Health Sciences (BS); Architecture (BS); Architectural Studies (BS); Construction Engineering Technology (BS); Electronic Engineering Technology (BS); Accounting (BS); Business Administration (BS); Business Administration with a Program Major in Facilities Management (BS); Economics with Minor in Business (BS); Environmental Sciences (BS); Graphic Design (BS); Journalism (BS); Public Relations (BS); Nursing (BS) ; Community Psychology (MS) ; Social Work (MSW) ; Political Science (MASS) ; Public Administration (MASS) ; History (MASS) ; Criminal Justice (MASS) ; Global Security and International Affairs (MASS) ; Computer Information Science (MS) ; Software Engineering Science (MS) ; Molecular Cellular Biology (MS) ; Ecology (MS) ; Physiology (MS) ; Biological Sciences - Non Thesis Track (MS) ; Chemistry (MS) ; Physics (MS) ; Physics (PhD) ; Sport Management (MS) ; Educational Leadership (MS/MEd) ; Counselor Education (MS/MEd) ; Curriculum and Instruction MEd) ; Educational Leadership (PhD) ; Business Administration (online) (MBA) ; Business Administration (MBA/MS) ; Pharm-D/MBA (PharmD) ; Pharmaceutical Sciences (MS) ; Pharmaceutical Sciences (PhD) ; Specialization in Health Outcomes Research and Pharmacoeconomics (PhD) ; Public Health (MPH) ;  Public Health Online (MPH) ; Public Health (DrPH) ; Health Administration (MHA) ; Occupational Therapy (MSOT) ; Physical Therapy (DPT) ; Nursing (MSN) ; Nursing (online) (MSN) ; Environmental Science (MS) ; Environmental Science (PhD) ; Agribusiness (MS) ; Entomology (MS) ; Plant Science (MS) ; Agricultural Science (non-thesis) (MS) ; Agricultural Science (thesis) (MS) ; Soil and Water (MS) ; Entomology (PhD) ;  Architecture (MS) ; Architecture (MArch) ; Biomedical Engineering (MS) ; Biomedical Engineering (PhD) ; Chemical Engineering (MS) ; Chemical Engineering (PhD) ; Civil Engineering (MS/MEng) ; Civil Engineering (PhD) ; Electrical Engineering (MS) ; Electrical Engineering (PhD) ; Mechanical Engineering (MS) ; Mechanical Engineering (PhD) ; Industrial Engineering (MS) ; Industrial Engineering (PhD)
","BA ; BS ; MA ; MArch ; MBA ; MEd ;  MEng ; MHA ;  MS ; MSOT ; MSN ;  MSW ; MASS ; MPH ; PhD ; PharmD ; DrPH ;     
",Tallahassee,Florida,"Respondus ; Blackboard
","Adopted High School Scholarship ; Distinguished Scholars Award Scholarship ; Elizabeth Benacquisto Merit Incentive Scholarship ; George W. Gore Award ; Presidential Special Scholarship

",,,Chris,,,
Florida Memorial University,http://www.fmuniv.edu/,"Aviation Management (BS) ; Aeronautical Science (BS) ;  Biology (BS) ; Business Administration (BS) ; Cybersecurity (BS) ; Computer Science (BS) ; Information Systems (BS) ; Mathematics (BS) ; Biology (BS) ; Chemistry (BS) ; Environmental Science (BS) ;  Communication (BA) ; English (BA) : Religion and Philosophy (BA) ; Physics (BS) ; Music (BA) ; Music and Entertainment Public Relations (BA) ; Criminal Justice (BA) ; Law and Government (BA) ; Psychology (BA) ; Bachelor of Social Work (BSW) ; Sociology (BA) ; Accounting (BS) ; Business Administration (BS) ; Finance (BS) ; Marketing (BS) ;  Combined Elementary Education ESOL (K-6) and Exceptional Education ESOL (K-12)/ESOL (BS) ; Secondary Education: English / ESOL (6-12) (BS) ; Secondary Education: Mathematics (6-12) (BS) ;  Secondary Education: Social Science (6-12) (BS) ; Business Administration (MBA) ; Exceptional Education/ESOL  (MEd) ;  Reading (MEd)
","BA ; BS : MBA ; MEd
",Miami Gardens,Florida,"Blackboard ; Citrix 
",Freshman Scholarships ; UNCF Scholarships ; A.B. Coleman Endowed Scholarships ; ,,,Chris,,,
Fort Valley State University,http://www.fvsu.edu/,Biology (BS); Biotechnology (MS); Chemistry (BS); Electronics Engineering Technology (BS); Engineering Technology (BS); Mathematics (BS); Physics (BS);,Bachelor of Science (BS); Career Certificate (CC);,Fort Valley,Georgia,Baner; WebX; Zoom;,,,,Chris,,,
Gadsden State Community College,http://www.gadsdenstate.edu/,"Accounting Specialist (Computerized) (CC); Accounting Technology (AAS); Air Conditioning and Refrigeration (AAS); Auto Collision Repair (TC); Automotive Manufacturing Technology (AAS); Automotive Service (TC); Child Development (AAS, CC); Civil Engineering Technology (AAS); Construction Technology (AC); Computer Science Technology (AAS, CC); Court Reporting Technology (AAS); Diagnostic Medical Sonography (CC); Diesel Technology (CC); Electronic Engineering Technology (AAS, CC); Engineering Design Technology (AAS); Electrical Technology (AAS); Emergency Medical Services (CC); Fine Arts (AA); General Studies (AS); Health Information Technology Management (CC); Health, PE, Recreation (AS); Human Services (AAS); Liberal Arts (AA); Industrial Automation Technology (AAS); Marketing Management (AAS); Massage Therapy (CC); Mechanical Design Technology (AAS, TC); Medical Coding/Billing Specialist (CC); Medical Laboratory Technology (CC); Office Administration (AAS); Nursing (CC); Paralegal Studies (AAS); Precision Machining (AAS, CC, CT); Phlebotomy Training (CC); Radiologic Technology (CC); Salon and Spa Management (AAS, AC, CC); Surgical Operating Room Technician (CC); Welding Technology (AC, CC); Word Processing Specialist (CC);",Advance Short-Term Certificate (AC); Associate of Applied Science (AAS); Associate of Arts (AA); Associate of Science (AS); Career Certificate (CC); Technology Certificate (TC);,Gadsden,Alabama,,Vetern,,,Nich,,,1 Black person on homepage;
Grambling State University,http://www.gram.edu/,"Accounting (BS); Biology (BS, DC); Chemistry (BS); Chile Development & Early Litature (BS); Cloud Computing (BS); Computer Information Systems (BS); Computer Science (BS); Curriculum & Instruction (MEd); Criminal Justice (BS, MS); Cybersecurity (BS); Development Education (MS, PMC, EdD); Elementary Education (BS, MAT); Engineering Technology (BS); English (BA); Family Nurse Practitioner (PMC); History (BA); Kinesiology (BS); Leisure Studies (BS); Management (BS); Marketing (BS); Mass Communication (BA, MA); Mathematics (BS); Music (BA); Nursing (BSN); Physics (BS); Psychology (BA); Public Administration (MPA); Secondary Education for Middle School (BS, MAT); Social Science (MA); Social Work (BSW, MSW); Sociology (BA); Special Education (BS); Sports Administration (MS); Visual and Performing Arts (BA);",Bachelor of Art (BA); Bachelor of Science (BS); Bachelor in Nursing (BSN); Bachelor in Social Work (BSW); Doctor of Chiropractic (DC); Educational Doctorate (EdD); Masters of Art (MA); Masters of Education (MEd); Masters of Arts in Teaching (MAT); Masters in Public Administration (MPA); Masters of Science (MS); Master in Social Work (MSW); Post-Masters Certificate (PMC),Grambling,Louisiana,Banner; Canvas; Distance Learning,"100 Horses Alumni Band Scholarship; Abdulalim A. Shabazz Non-Endowed Scholarship; Alexis Johnson Scholarship; Bernadene Coleman-Pope Scholarship; Bryan C. Griffin Endowed Scholarship for Math and Computer Science; Charles E. Grier Non-Endowed Spirit Award; Charlotte & Harold Mouton Non-Endowed Scholarship; Charlotte & Harold Mouton Non-Endowed Scholarship; Crescent City Chapter Scholarship; Debbie N. Robinson Endowed Scholarship in the College of Business; The Earline Jones McCain Educational Non-Endowed Scholarship; James Jackson Delta Sigma Chapter/Alpha Phi Alpha Fraternity, Inc. Non Endowed Scholarship; Jennie V. Wilson Scholarship Fund; Dr. Jimmy McJamerson Non-Endowed Scholarship; John L. and Evelyn Ford Crayton Non-Endowed Student Scholarship; Laura B. Spencer GAP Scholarship; Lulla Emmanuel Wiltz Non-Endowed Memorial Scholarship Fund; McCray-Dennis-Muse-Dangerfield-Sanders Non-Endowed Memorial Scholarship; T he Oluremi Sano Award for Excellence in English; Perry E. Thompson Scholarship; Mrs. Pinkie Robertson Scholarship; NEVCO Sports, LLC Scholarship; Pinkie Robertson, Jennie V. Wilson and Dr. Lucy McIntosh Non-Endowed Scholarship; Radiothon Scholarship; The Road to Success Scholarship; Rosemary Ewing Scholarship; Beasley Non-Endowed Scholarship; Shermika Sade Bolden Non-Endowed Memorial Scholarship; The Ward Robinson C’72 Finish Line Scholarship; Zelma and Steve Moffett Scholarship; ",,,Nich,,,
H Councill Trenholm State Technical College,https://www.trenholmstate.edu/,"Automotive & Transportation (TC, AS); Cosmetology (AC); Business Administration (AA, AS); Child & Human Development (AC); Culinary Arts & Hospitality (AA); Engineering Technologies (TC); General Education (AC, AA, AS); Graphic Design (AA);",Advance Short-Term Certificate (AC); Associate of Arts (AA); Associate of Science (AS); Technology Certificate (TC);,Montgomery,Alabama,,,,,Nich,,,
Hampton University,http://www.hamptonu.edu/,"Accounting (BS); Applied Mathematics – Computational Mathematics (MS); Applied Mathematics – Nonlinear Science (MS); Applied Mathematics – Statistics & Probability (MS); Art (BA);  Atmospheric Science (MS, PhD); Aviation Management (BS, O-BS); Biblical Studies (O-AA); Biochemistry (BS); Biology (BS, MAT, MS); Biology - Environmental Science (MS); Broadcast Journalism (BA); Business Administration (BS, MBA, O-BS, O-PhD, PhD); Chemical Engineering (BS); Chemistry (BS, MS); Communicative Sciences and Disorders (BA, MA); Computer Engineering (BS); Computer Information Systems (BS); Computer Science (BS, MS); Counseling (EdS, MA, O-EdS, O-MA, PhD); Counselor Education and Supervision (O-PhD); Criminal Justice (BS, O-BS); Economic (BS); Education - Community Agency (MA);  Cybersecurity (O-MS); Educational Leadership (MA); Educational Management (O-PhD); Electrical Engineering (BS); Elementary Education (MA); English (BA); Entrepreneurship (BS); Finance (BS); Fine & Performing Arts (BA); Flight Education (BS);  Food Service Manager (CC); General Studies (O-AA, O-BA); Health, Physical Education, & Recreation (BS, MA); History (BA); Hotel & Resort Management (BS); Human Resource Management (O-Certificate); Information Assurance (O-MS); International Studies (BA); Liberal Studies (BA); Management (BS); Marketing (BS); Marine & Environmental System (BS); Mathematics (BS); Medical Science (MS); Music Education (BA, MAT); Music Performance (BA); Music Recording Technology (BS); Naval Science (BS);  Nursing (BS, LPN, MS, O-BS, O-MS, O-PhD); Paralegal Legal Studies (O-BA, O-Certificate); Pastoral Counseling (MA);  Physical Therapy (DPT); Physics (BS, MS, PhD); Planetary Science (MS, PhD); Political Science (BA); Print Journalism (BA); Psychology (BA, MS); Public Relations (BA); Religious (MA, MDiv); Religious Studies (O-AA, O-BA); School Counseling (MA); Sport Administration (MA); Secondary Biology (MAT); Secondary English (MAT); Secondary Mathematics (MAT); Secondary Music (MAT); Sociology (BA); Spanish (BA); Sports Administration (O-MS); Student Affairs, College Student Development (MA); Systems Organization and Management (BS); Theatre Art (BA);",Associate of Arts (AA); Associate of Science (AS); Bachelor of Science (BS); Career Certificate (CC); Doctor of Philosophy (PhD); Doctor of Physical Therapy (DPT); Educational Specialist (Ed.S); Masters of Art (MA); Master of Business (MBA); Master of Divinity (MDiv); Masters of Science (MS); Masters of Arts in Teaching (MAT); Online – AA; Online – AS; Online – BA; Online – BS; Online – Certificate; Online – MA; Online – MS; Online - PhD,Hampton,Virginia,,Iraq and Afghanistan Service Grant,,,Nich,,,
Harris-Stowe State University,http://go.hssu.edu/?CFID=5485760&CFTOKEN=29550137,Accounting (BS); Biology (BS); Business Administration (BS); Criminal Justice (BS); Early Childhood Education (BS);  Educational Studies (BS); Elementary Education (BS); Finance (BS); Health Care Management (BS); Information Sciences & Computer Technology (BS); Marketing (BS); Mathematics (BS); Middle School & Secondary Education (BS); Secondary Education (BS); Sociology (BS); Sustainability & Urban Ecology (BS); Urban Affairs (BS); Urban Agriculture (CC);,Bachelor of Science (BS); Career Certificate (CC);,St. Louis,Missouri,eLearning,,,,Nich,,,
Howard University,https://www2.howard.edu/,"Accounting (B.B.A.); African Studies (B.A., MA, PhD); Afro American Studies (B.A.); Anatomy (MS, PhD., MD/Ph.D.); Architecture (M.Arch.); Art History (B.A.); Art (B.F.A, MFA.); Atmospheric Sciences (MS, PhD); Biochemistry and Molecular Biology (MS, PhD, MD/PhD); Biology (BS, MS, PhD, MD/PhD); Business (M.B.A.); Clinical Laboratory Science (B.S.CLS.); Chemistry (B.S, MS,PhD, MD/PhD); Chemical Engineering (B.S., MS); Civil Engineering (B.S.CIV, M.Eng, PhD); Comm., Culture & Media Studies (Ph.D.); Communications - Speech Language Pathology 5-year Accelerated Master’s (M.S.); Comm. Sciences & Disorders (MS, PhD); Computer Engineering (B.S.Comp.Eng.); Computer Information Systems (B.B.A.); Computer Science (B.S., MSCS, PhD); Counseling Psychology (Ph.D.); Criminology (B.A.);  Dental Hygiene (Certificate); Dentistry (D.D.S.); Economics (B.A. MA, PhD); Education Leadership and Policy Studies (MEd, EdD); Educational Psychology (Ph.D.); Electrical Engineering (B.S.Elec.Eng., PhD); Elementary Education (B.S., MEd); English (B.A., MA, PhD); Executive MBA (E-M.B.A.); Film (M.F.A.); Finance (B.B.A.);  French (B.A.); Genetics & Human Genetics (MS, PhD, MD/PhD); Health Education (B.S.); Health Management (B.S.); Health Sciences (B.S.); Higher Education Leadership and Policy Studies (Ph.D.); History (B.A., MA, PhD); Human Development (B.S.); Human Performance (B.S.); Interdisciplinary Studies (B.A.); International Business (B.B.A.); Law (L.L.M, JD.), Leisure Studies (B.S.); Mathematics (B.S., MS, PhD); Management (B.B.A.); Marketing (B.B.A.); Mechanical Engineering (B.S.Mech.Eng., Meng, PhD); Media Journalism, Film and Communications (B.A.); Medicine (M.D.); Microbiology (PhD, MD/PhD); Music (B.M., MAM); Nutritional Sciences (B.S.); Nursing (BSN, MSN); Nutritional Sciences (M.S.); Occupational Therapy (MOT); Pharmaceutical Science (MS, PhD, MD/PhD); Pharmacy (Pharm.D.); Pharmacology (MS, Ph.D.); Philosophy (B.A.); Physical Therapy (D.P.T.); Physics (B.S.); Physics & Astronomy (MS, PhD);  Physiology & Biophysics (M.D/Ph.D.); Political Science (B.A., MA, PhD); Psychology (B.S, MS, PhD.); Physiology (PhD, MD/PhD); Public Health (MPH); Radiation Therapy (B.S.R.T.); Religion (MA, M.Div., M.Div./M.S.W., M.Div./M.B.A., D.Min); School Psychology (Ph.D.); School Psychology and Counseling Services (MEd); Secondary Education (MEd); Social Work (M.S.W., Ph.D.); Sociology (B.A.); Sociology and Criminology (MA, PhD); Spanish (B.A.); Strategic, Legal, & Management Communication (B.A.); Supply Chain Management (B.B.A.); Theatre Arts (B.F.A.)",Bachelor of Art (BA); Bachelors in Business Administration (BBA); Bachelor of Fine Art (BFA); Bachelor of Science (BS); Bachelor of Science in Clinical Laboratory Science (BSCLS); Bachelor in Nursing (BSN); Bachelor in Social Work (BSW); Certificate (PC); Doctor of Philosophy (PhD); Executive MBA (E-MBA); Masters of Architecture (MArch); Masters of Art (MA); Master of Business (MBA); Master of Divinity (MDiv); Masters of Education (MEd); Master of Fine Art (MFA); Master of Occupational Therapy (MOT); Masters of Science (MS); Master in Social Work (MSW); ,Washington,DC,,,,,Chris,,,
Huston-Tillotson University,http://htu.edu/,,,Austin,Texas,,,,,Chris,,,
Interdenominational Theological Center,https://www.itc.edu/,,,Atlanta,Georgia,,,,,Chris,,,
J F Drake State Technical College,http://www.drakestate.edu/,,,Huntsville,Alabama,,,,,Chris,,,
Jackson State University,http://www.jsums.edu/,Biology (BS/MS); Biomedical Science (BS); Chemistry (MS/PhD); Civil Engineering (BS); Computer Engineering (BS); Computer Science (BS/MS); Criminal Justice (BS); Education (BS/MS); Engineering (MS); English (BA/MA); Environmental Engineering (BS); Environmental Science (BS/MS/PhD); Foreign Language (BA); Forensic Science (BS); Hazardous Materials Management (MS); History (BA/BS/MA); Integrated Marketing (BS/MS); Mathematics (BS); Media Production (BS); Meteorology (BS); Multimedia Journalism (BS/MS); Music Education (BME); Physics (BS); Political Science (BA/MA); Pure and Applied Mathematics (MS); Psychology (BS/PhD); Speech (BA); Sociology (BA/MA); Teaching (MAT); Telecommunications Engineering (BS);Theatre (BA),Bachelor of Arts (BA); Bachelor of Business Administration (BBA); Bachelor of Science (BS); Bachelor of Music (BM); Master of Art (MA); Master of Arts in Teaching (MAT);,Jackson,Mississippi,Canvas; KACE; PAWS;,Academic Scholarships; Alumni Scholarships; Apple HBCU Scholars Program; Civil Engineering Scholarship; Development Scholarship; First Time Freshman Scholarship; Graduate Diversity Scholarship; Latino Scholarship; STEM/Women and Minorities Scholarships;,,,Chris,,,
Jarvis Christian College,https://www.jarvis.edu/,,,Hawkins,Texas,,,,,,,,
Johnson C Smith University,https://www.jcsu.edu/,,,Charlotte,North Carolina,,,,,,,,
Kentucky State University,https://kysu.edu/,,,Frankfort,Kentucky,,,,,,,,
Lane College,https://www.lanecollege.edu/,,,Jackson,Tennessee,,,,,,,,
Langston University,https://www.langston.edu/,,,Langston,Oklahoma,,,,,,,,
Lawson State Community College-Birmingham Campus,http://www.lawsonstate.edu/,,,Birmingham,Alabama,,,,,,,,
Le Moyne-Owen College,http://www.loc.edu/,,,Memphis,Tennessee,,,,,,,,
Lincoln University,https://www.lincolnu.edu/pages/1.asp,,,Jefferson City,Missouri,,,,,,,,
Lincoln University of Pennsylvania,http://www.lincoln.edu/,,,Philadelphia,Pennsylvania,,,,,,,,
Livingstone College,http://livingstone.edu/,,,Salisbury,North Carolina,,,,,,,,
Meharry Medical College,http://www.mmc.edu/,,,Nashville,Tennessee,,,,,,,,
Miles College,http://www.miles.edu/,Biology (BS); Computer Information Sciences (BS); Environmental Sciences (BS); Management Information Systems (BS); Mathematics (BS); Chemistry (BS),Bachelors of Science (BS),Fairfield,Alabama,BlackBoard,,,,,,,
Mississippi Valley State University,http://www.mvsu.edu/,,,Itta Bena,Mississippi,,,,,,,,
Morehouse College,http://www.morehouse.edu/,"African American Studies  (BA); Biology (BS) Business Administration (BA); Chemistry (BS); Chinese Studies (BA); Cinema Television & Emerging Media Studies (BA); Computer Science (BS); Economics (BA); English (BA); History (BA); Kinesiology, Sports Studies & Physical Education (BA); Mathematics (BS); Modern Foreign Languages  (BA); Music (BA); Philosophy & Religion  (BA); Political Science  (BA); Psychology (BS); Sociology (BA); Survey of Visual Arts  (BA); Urban Studies  (BA)",BS; BA,Atlanta,Georgia,Banner 8 ,HOPE,,,,,,
Morehouse School of Medicine,http://www.msm.edu/,,,Atlanta,Georgia,,,,,,,,
Morgan State University,https://www.morgan.edu/,Advanced Computing (MS); Biology (BS); Chemistry (BS); Computer Science (BS); English (BA); Engineering (BS/MEng); Finance (BA); Mathematics (BS/MA); Nursing (BA/MS); Science (MS),Bachelors of Arts (BA); Bachelor of Science (BS); Master of Arts (MA); Master of Science (MS);,Baltimore,Maryland,,,,,,,,
Morris College,http://www.morris.edu/,,,Sumter,South Carolina,,,,,,,,
Norfolk State University,http://www.nsu.edu/,Accountancy (BS); Architectural Drafting (AS); Biology (BS); Chemistry (BS); Computer Engineering Technology (BS); Computer Science (BS/MS); Construction Management Engineering Technology (BS); Criminal Justice (MA); Cybersecurity (MS); Electrical and Electronics Engineering (BS); Electronics Engineering (MS); Mathematics (BS); Nursing (BS); History (BA); Physics (BS); Social Work (BSW),Associates of Science (AS); Bachelors in Science (BS)' Bachelor of Social Work (BSW); Masters of Arts (MA),Norfolk,Virginia,Blackboard; Learning Management System (LMS); Pearson; ReadSpeaker; SmartThinking; SoftChalk; Virtual Computing Labs,,,,,,,
North Carolina A & T State University,http://www.ncat.edu/,,,Greensboro,North Carolina,,,,,,,,
North Carolina Central University,http://www.nccu.edu/,,,Durham,North Carolina,,,,,,,,
Oakwood University,http://www.oakwood.edu/,,,Huntsville,Alabama,,,,,,,,
Paine College,https://www.paine.edu/web/mycampus/home,,,Augusta,Georgia,,,,,,,,
Paul Quinn College,http://www.pqc.edu/,,,Dallas,Texas,,,,,,,,
Philander Smith College,https://www.philander.edu/,,,Little Rock,Arkansas,,,,,,,,
Prairie View A & M University,https://www.pvamu.edu/,"Applied Mathematics (BS); Biology (BS); Chemistry (BS, MS); Communication (BA); English (BA); Mathematics Teaching (BS); Physics (BS); Statistics (BS)",Bachelors of Arts (BA); Bachelor of Science (BS);,Prairie View,Texas,Baner; WebX; Zoom;,ASNT Engineering Undergraduate Scholarship; Ashley College Tour Scholarship Program; National Founder’s Undergraduate Business Student Scholarship; National Founder’s Undergraduate Business Student Scholarship; Veteran Car Donations Annual Scholarship; Michael Moody Fitness Scholarship; ,,,,,,
Rust College,http://www.rustcollege.edu/,,,Holly Springs,Mississippi,,,,,,,,
Saint Augustines College,https://www.st-aug.edu/,,,Raleigh,North Carolina,,,,,,,,
Saint Pauls College,https://www.saintpaul.edu/,,,Brooklandville,Maryland,,,,,,,,
Savannah State University,https://www.savannahstate.edu/,,,Savannah,Georgia,,,,,,,,
Selma University,https://www.selmauniversity.edu/,,,Selma,Alabama,,,,,,,,
Shaw University,http://www.shawu.edu/,,,Raleigh,North Carolina,,,,,,,,
Shelton State Community College,https://www.sheltonstate.edu/,,,Tuscaloosa,Alabama,,,,,,,,
South Carolina State University,http://www.scsu.edu/,,,Orangeburg,South Carolina,,,,,,,,
Southern University and A & M College,http://www.subr.edu/,,,Baton Rouge,Louisiana,,,,,,,,
Southern University at New Orleans,http://www.suno.edu/,,,New Orleans,Louisiana,,,,,,,,
Southern University at Shreveport,http://www.susla.edu/,,,Shreveport,Louisiana,,,,,,,,
Southwestern Christian College,http://www.swcc.edu/,,,Terrell,Texas,,,,,,,,
Spelman College,http://www.spelman.edu/,Art;; Art History; Biochemistry;  Biology; Chemistry; Comparative Women's Studies; Computer and Information Sciences; Dance Performance & Choreography;  Documentary Filmmaking; Early Childhood Education; Economics; Education Studies; English; Environmental Sciences; Environmental Studies; French; General Science (Dual Degree Engineering); Health Sciences ;  History; Human Services; Independent Major; International Studies; Mathematics; Music; Philosophy; Photography; Physics; Political Science; Psychology; Religious Studies; Spanish; Sociology; Sociology and Anthropology; Theatre & Performance;,Bachelors of Arts (BA); Bachelors of Science (BS),Atlanta,Georgia,"Moodle, Purdue; SpelApps; Zoom",Bonner Scholarship; Dean’s Scholarship; Dean’s Academic Scholarship; Flanigan Scholarship; Presidential Scholarship; Student of Distinction,,,,,,
St Philips College,http://www.alamo.edu/spc/,,,San Antonio,Texas,,,,,,,,
Stillman College,http://stillman.edu/,,,Tuscaloosa,Alabama,,,,,,,,
Talladega College,http://talladega.brinkster.net/joomla25/index.php,,,Talladega,Alabama,,,,,,,,
Tennessee State University,http://www.tnstate.edu/,,,Nashville,Tennessee,,,,,,,,
Texas College,https://www.texascollege.edu/,,,Tyler,Texas,,,,,,,,
Texas Southern University,http://www.tsu.edu/home/,,,Houston,Texas,,,,,,,,
Tougaloo College,https://www.tougaloo.edu/,Biology (BS); Biology (BS); Chemistry (BS); Chemistry Education (BS); Computer Science (BS); Mathematics (BS); Mathematics Education (BS); Physics (BS);,,Jackson,Mississippi,Moodle,Athletic Scholarships; Community College Graduate Academic;  Critical Needs Teacher Loan/Scholarship; Freshman Academic; Music Scholarships; Presidential Academic; Provost Academic; Servant Leader Academic; Phi Theta Kappa; ,,,,,,
Tuskegee University,https://www.tuskegee.edu/,"Accounting (BS); Aerospace Science Engineering (BS); Agribusiness (BS); Agricultural & Resource Economics* (MS); Animal, Poultry and Veterinary Sciences (BS); Animal Sciences (MS); Architecture (A.Arch); Biology (BS, MS); Business Administration (BS); Chemical Engineering (BS, MS); Chemistry (BS, MS); Clinical Laboratory Science (BS); Computer Engineering (BS); Computer Science (BS); Communications (BA); Construction Science and Management (BS); Economics (BS); Electrical Engineering (BS, MS); Elementary Education (BA); English (BA); English Language Arts Education (BA); Environmental (BS); Environmental Management (O-MS); Environmental Science (MS, O-MS); Natural Resource and Plant Sciences Finance (BS); Food and Nutritional Sciences (BS, MS); General Psychology (MS); General Science Education (BA); General Science Education (BA); Hospitality Management (BA); Information Systems & Security Mgt (MS); Information Technology (BS); Integrative Biosciences (PhD); Integrative Public Policy & Development (PhD); Interdisciplinary Pathobiology (PhD); Management Science (BS); Materials Science & Engineering (MS, PhD); Mathematics (BA); Mathematics Education (BA); Mechanical Engineering (BS, MS); Music (BA); Nursing (BS); Occupational Therapy (BS, MS); Plant & Soil Sciences(MS); Physical Education(BA); Physics (BS); Political Science (BA); Psychology (BA); Public Health (MS); Public Health Nutrition (BS); Sales and Marketing (BS); Social Work (BA); Sociology (BA); Supply Chain Management (BS); Veterinary Sciences (MS); Visual Arts (BA); ",Bachelor of Architecture (B. Arch); Bachelor of Arts (BA); Bachelor of Science (BS); Doctor of Philosophy (PhD); Masters of Science (MS); Online – MS; ,Tuskegee,Alabama,Blackboard,Athletic Scholarships; ChameleonJohn Scholarship; Computer Science Scholars Program; External Scholarships; Freshman Scholarships; R.O.T.C. Scholarships; Shomari Asim Foster Scholarship; Transfer Student Scholarships  ,,,,https://tuskegee.university-tour.com/map.php,,
University of Arkansas at Pine Bluff,http://www.uapb.edu/,"Art (BS); Biochemistry (BS); Biology (BS); Chemistry (BS); Chemistry Education (BS); Computer Science Information Systems (BS); Computer Science-Math (BS); Criminal Justice (BA); Forensic Chemistry (BS); Gerontology (BA); History (BA); Industrial Technology, Management & Applied Engineering (BS); Mathematics (BS); Nursing (BS); Physics (BS); Psychology (BS); Social Work (BA); Social Sciences Education (BA); Sociology (BA)",Bachelors of Arts (BA); Bachelor of Science (BS);,Pine Bluff,Arkansas,BlackBoard,,,,,,,
University of Maryland Eastern Shore,https://www.umes.edu/home/,,,Princess Anne,Maryland,,,,,,,,
University of the District of Columbia,https://www.udc.edu/,,,Washington,DC,,,,,,,,
University of the Virgin Islands,https://www.uvi.edu/,,,Charlotte Amalie West,St Thomas,,,,,,,,
Virginia State University,http://www.vsu.edu/,,,Petersburg,Virginia,,,,,,,,
Virginia Union University,https://www.vuu.edu/,,,Richmond,Virginia,,,,,,,,
Virginia University of Lynchburg,http://www.vul.edu/,,,Lynchburg,Virginia,,,,,,,,
Voorhees College,https://www.voorhees.edu/,,,Denmark,South Carolina,,,,,Chris,,,
West Virginia State University,http://www.wvstateu.edu/,,,Institute,West Virginia,,,,,Chris,,,
Wilberforce University,http://wilberforce.edu/,,,Wilberforce,Ohio,,,,,Chris,,,
Wiley College,http://www.wileyc.edu/,,,Marshall,Texas,,,,,Chris,,,
Winston-Salem State University,https://www.wssu.edu/,,,Winston-Salem,North Carolina,,,,,Chris,,,
Xavier University of Louisiana,http://www.xula.edu/,,,New Orleans,Louisiana,,,,,Chris,,,
